culmino_estudio,genero,ingreso_mensual,horas_semanales,ingreso_primer_empleo,categoria_ocupacional,tipo_contrato,sector_laboral,tamanio_empresa,ocupacion_cod,actividad_economica_cod,titulado,cuadro_merito,postgrado,idioma_extranjero,practicas_preprof,gestion_universidad,distrito,salario_hora,departamento_id,carrera_id
1.0,1.0,3700.0,44.0,4.0,3.0,1.0,5.0,4.0,335,3510,1.0,1.0,1.0,3.0,2.0,1.0,INDEPENDENCIA,19.556025369978858,15,82
1.0,2.0,800.0,54.0,2.0,3.0,4.0,2.0,5.0,381,7210,2.0,1.0,1.0,3.0,1.0,1.0,LOS OLIVOS,3.4453057708871664,15,190
1.0,2.0,4000.0,25.0,0.0,3.0,2.0,5.0,4.0,235,8620,1.0,1.0,1.0,1.0,1.0,2.0,SAN MARTIN DE PORRES,37.2093023255814,15,274
1.0,2.0,1600.0,48.0,3.0,3.0,2.0,5.0,5.0,351,4772,1.0,1.0,2.0,4.0,1.0,2.0,CONCEPCION,7.7519379844961245,12,160
1.0,1.0,1800.0,48.0,0.0,3.0,2.0,5.0,2.0,381,4721,2.0,2.0,2.0,4.0,1.0,1.0,COMAS,8.72093023255814,15,82
1.0,1.0,350.0,23.0,2.0,3.0,7.0,5.0,1.0,381,6910,2.0,1.0,2.0,2.0,1.0,1.0,SAN MIGUEL,3.5389282103134483,5,89
1.0,2.0,1200.0,30.0,1.0,3.0,1.0,3.0,5.0,243,8521,1.0,1.0,1.0,3.0,1.0,2.0,LOS OLIVOS,9.30232558139535,15,114
1.0,2.0,4000.0,44.0,1.0,3.0,1.0,5.0,5.0,411,146,1.0,1.0,1.0,4.0,1.0,1.0,PUENTE PIEDRA,21.141649048625794,15,307
1.0,1.0,1500.0,40.0,0.0,3.0,2.0,5.0,3.0,423,3312,2.0,2.0,2.0,1.0,1.0,1.0,CHORRILLOS,8.720930232558139,15,2
1.0,1.0,3000.0,56.0,0.0,3.0,2.0,5.0,5.0,251,2394,2.0,1.0,1.0,4.0,1.0,2.0,CASTILLA,12.458471760797343,20,193
1.0,2.0,2500.0,40.0,0.0,3.0,5.0,5.0,1.0,381,6920,1.0,1.0,2.0,2.0,1.0,1.0,LURIGANCHO,14.534883720930232,15,82
1.0,1.0,1200.0,40.0,0.0,3.0,2.0,2.0,5.0,312,8411,2.0,1.0,2.0,2.0,1.0,1.0,CALLAO,6.976744186046512,7,255
1.0,2.0,1500.0,38.0,1.0,3.0,2.0,5.0,3.0,241,8530,2.0,1.0,2.0,2.0,1.0,2.0,SAN JUAN DE LURIGANCHO,9.179926560587514,15,156
1.0,2.0,2500.0,40.0,3.0,3.0,1.0,5.0,1.0,381,8620,1.0,1.0,2.0,2.0,1.0,2.0,LOS OLIVOS,14.534883720930232,15,6
1.0,2.0,1000.0,47.0,3.0,3.0,2.0,5.0,4.0,365,6110,1.0,1.0,2.0,1.0,1.0,2.0,LOS OLIVOS,4.948045522018803,15,5
1.0,1.0,2500.0,40.0,0.0,3.0,2.0,5.0,2.0,227,7490,0.0,2.0,2.0,4.0,1.0,1.0,SANTA ANITA,14.534883720930232,15,196
1.0,2.0,1200.0,30.0,0.0,3.0,1.0,5.0,4.0,239,8790,1.0,2.0,2.0,2.0,1.0,2.0,ATE,9.30232558139535,15,156
1.0,2.0,1300.0,30.0,0.0,3.0,2.0,5.0,3.0,244,8521,1.0,1.0,2.0,2.0,1.0,2.0,SAN JUAN DE LURIGANCHO,10.077519379844961,15,114
1.0,2.0,1300.0,26.0,1.0,3.0,7.0,5.0,1.0,236,8620,1.0,1.0,2.0,2.0,1.0,1.0,SAN JUAN DE LURIGANCHO,11.627906976744187,15,289
1.0,2.0,900.0,54.0,0.0,3.0,4.0,2.0,5.0,381,8530,0.0,2.0,2.0,3.0,2.0,1.0,SANTA ANITA,3.8759689922480622,15,234
1.0,1.0,3000.0,40.0,4.0,3.0,2.0,2.0,5.0,217,8411,1.0,2.0,2.0,3.0,1.0,1.0,LOS OLIVOS,17.441860465116278,15,205
1.0,2.0,2000.0,54.0,1.0,3.0,5.0,5.0,3.0,254,7110,1.0,1.0,1.0,5.0,1.0,2.0,CARABAYLLO,8.613264427217915,15,89
1.0,2.0,3000.0,40.0,0.0,3.0,1.0,5.0,4.0,381,729,0.0,2.0,2.0,5.0,1.0,2.0,COMAS,17.441860465116278,15,82
1.0,1.0,3500.0,45.0,3.0,3.0,2.0,5.0,4.0,217,6202,1.0,1.0,2.0,2.0,2.0,2.0,PUEBLO LIBRE,18.087855297157624,15,207
1.0,1.0,3500.0,53.0,3.0,3.0,1.0,5.0,4.0,251,4330,2.0,1.0,2.0,4.0,1.0,2.0,LIMA,15.3576129881527,15,82
1.0,1.0,2000.0,18.0,2.0,3.0,7.0,5.0,2.0,268,8620,2.0,2.0,2.0,4.0,1.0,1.0,SAN BORJA,25.83979328165375,15,294
1.0,1.0,2680.0,45.0,0.0,3.0,1.0,2.0,5.0,254,8411,2.0,1.0,2.0,1.0,1.0,2.0,PUEBLO LIBRE,13.850129198966409,15,89
1.0,2.0,4500.0,70.0,0.0,3.0,1.0,5.0,1.0,252,4530,1.0,2.0,2.0,2.0,1.0,1.0,SAN JUAN DE MIRAFLORES,14.950166112956811,15,11
1.0,2.0,3500.0,41.0,3.0,3.0,2.0,5.0,5.0,127,6202,1.0,1.0,2.0,2.0,1.0,2.0,PUEBLO LIBRE,19.852524106636416,15,218
1.0,2.0,1500.0,45.0,1.0,3.0,1.0,5.0,4.0,311,2100,2.0,1.0,2.0,2.0,1.0,2.0,SAN JUAN DE LURIGANCHO,7.751937984496124,15,160
1.0,2.0,3500.0,32.0,0.0,3.0,1.0,5.0,3.0,266,5813,2.0,2.0,2.0,4.0,1.0,2.0,SANTA ANITA,25.436046511627907,15,55
1.0,2.0,1400.0,48.0,0.0,3.0,6.0,2.0,5.0,423,8423,1.0,1.0,1.0,2.0,1.0,2.0,NUEVO IMPERIAL,6.782945736434109,15,89
1.0,1.0,3000.0,35.0,2.0,3.0,2.0,2.0,5.0,254,8411,2.0,2.0,1.0,3.0,1.0,1.0,CHAUPIMARCA,19.93355481727575,19,89
1.0,2.0,750.0,40.0,1.0,3.0,1.0,5.0,1.0,251,6920,1.0,2.0,1.0,2.0,2.0,2.0,VILLA MARIA DEL TRIUNFO,4.3604651162790695,15,82
1.0,1.0,1700.0,56.0,1.0,3.0,2.0,5.0,4.0,231,1079,0.0,2.0,2.0,3.0,1.0,2.0,SAN JUAN DE MIRAFLORES,7.059800664451828,15,42
1.0,1.0,2500.0,49.0,0.0,3.0,5.0,5.0,3.0,263,729,2.0,2.0,2.0,5.0,1.0,1.0,SAN MARTIN DE PORRES,11.865211200759374,15,29
1.0,2.0,2575.0,40.0,3.0,3.0,2.0,5.0,5.0,419,4100,1.0,1.0,1.0,4.0,1.0,1.0,CARABAYLLO,14.970930232558139,15,97
1.0,2.0,700.0,20.0,0.0,3.0,2.0,5.0,1.0,246,8549,1.0,1.0,2.0,2.0,1.0,1.0,LURIGANCHO,8.13953488372093,15,42
1.0,2.0,1200.0,30.0,1.0,3.0,7.0,5.0,1.0,236,8620,1.0,2.0,2.0,5.0,1.0,2.0,LOS OLIVOS,9.30232558139535,15,289
1.0,2.0,1500.0,40.0,3.0,3.0,2.0,5.0,3.0,231,7490,1.0,1.0,1.0,3.0,1.0,1.0,SANTA ANITA,8.720930232558139,15,42
1.0,2.0,2000.0,42.0,3.0,3.0,6.0,2.0,5.0,239,8610,1.0,2.0,2.0,3.0,1.0,1.0,LIMA,11.07419712070875,15,156
1.0,1.0,1500.0,44.0,0.0,3.0,2.0,2.0,5.0,411,8412,1.0,2.0,1.0,1.0,1.0,2.0,MALA,7.928118393234673,15,90
1.0,1.0,2000.0,48.0,0.0,3.0,2.0,2.0,5.0,451,8411,1.0,1.0,2.0,2.0,1.0,2.0,LIMA,9.689922480620156,15,97
1.0,2.0,2700.0,44.0,2.0,3.0,2.0,5.0,1.0,374,7912,1.0,2.0,1.0,4.0,1.0,1.0,EL AGUSTINO,14.270613107822411,15,11
1.0,2.0,1800.0,40.0,3.0,3.0,1.0,5.0,4.0,381,6920,2.0,1.0,2.0,3.0,1.0,1.0,SAN JUAN DE LURIGANCHO,10.465116279069768,15,82
1.0,2.0,1350.0,40.0,1.0,3.0,2.0,5.0,5.0,217,8530,2.0,2.0,2.0,3.0,1.0,1.0,RUPA-RUPA,7.848837209302325,10,207
1.0,1.0,1800.0,45.0,0.0,3.0,2.0,5.0,2.0,312,4290,0.0,1.0,1.0,3.0,1.0,2.0,INDEPENDENCIA,9.30232558139535,2,193
1.0,2.0,1200.0,40.0,1.0,3.0,6.0,2.0,5.0,451,8412,2.0,1.0,2.0,3.0,1.0,1.0,CALANA,6.976744186046512,23,54
1.0,2.0,1000.0,45.0,0.0,3.0,1.0,5.0,4.0,381,6419,2.0,2.0,2.0,5.0,1.0,1.0,TACNA,5.167958656330749,23,90
1.0,2.0,2000.0,48.0,0.0,3.0,2.0,5.0,1.0,217,6202,1.0,1.0,1.0,5.0,1.0,1.0,SURQUILLO,9.689922480620156,15,255
1.0,1.0,1100.0,30.0,0.0,3.0,2.0,5.0,2.0,411,8521,2.0,1.0,2.0,4.0,1.0,2.0,HUARAL,8.527131782945736,15,152
1.0,2.0,4500.0,45.0,0.0,3.0,2.0,5.0,3.0,419,6419,2.0,2.0,2.0,2.0,1.0,2.0,PUEBLO LIBRE,23.25581395348837,15,60
1.0,2.0,1050.0,45.0,0.0,3.0,2.0,5.0,2.0,239,8620,1.0,2.0,2.0,3.0,1.0,2.0,INDEPENDENCIA,5.426356589147287,15,156
1.0,2.0,2300.0,40.0,0.0,3.0,5.0,2.0,5.0,381,8412,1.0,2.0,1.0,2.0,1.0,1.0,LIMA,13.372093023255815,15,97
1.0,1.0,2000.0,48.0,0.0,3.0,2.0,2.0,5.0,421,8411,2.0,2.0,2.0,2.0,1.0,1.0,AYAVIRI,9.689922480620156,21,97
1.0,1.0,4000.0,40.0,2.0,3.0,2.0,5.0,4.0,217,6202,2.0,2.0,2.0,4.0,1.0,2.0,RIMAC,23.25581395348837,15,212
1.0,2.0,3500.0,56.0,0.0,3.0,2.0,2.0,5.0,254,8413,1.0,1.0,2.0,4.0,1.0,1.0,SAN JUAN DE MIRAFLORES,14.534883720930234,15,89
1.0,2.0,2000.0,46.0,1.0,3.0,2.0,2.0,5.0,381,8413,1.0,1.0,1.0,3.0,1.0,2.0,LOS OLIVOS,10.111223458038424,15,12
1.0,2.0,1200.0,48.0,0.0,3.0,2.0,5.0,2.0,239,8620,2.0,1.0,2.0,1.0,1.0,2.0,LOS OLIVOS,5.813953488372094,15,156
1.0,1.0,2500.0,40.0,0.0,3.0,2.0,5.0,5.0,254,8530,1.0,1.0,1.0,2.0,1.0,1.0,LOS OLIVOS,14.534883720930232,15,89
1.0,2.0,3800.0,40.0,2.0,3.0,2.0,5.0,5.0,262,910,2.0,1.0,2.0,2.0,2.0,1.0,SAN MARTIN DE PORRES,22.093023255813954,15,7
1.0,1.0,1100.0,42.0,3.0,3.0,4.0,5.0,3.0,366,6920,2.0,1.0,1.0,2.0,1.0,2.0,COMAS,6.0908084163898115,15,3
1.0,2.0,1200.0,50.0,2.0,3.0,2.0,5.0,3.0,319,4772,2.0,1.0,2.0,4.0,1.0,1.0,SANTIAGO DE SURCO,5.5813953488372094,15,205
1.0,1.0,2000.0,48.0,2.0,3.0,2.0,5.0,5.0,252,6419,1.0,2.0,2.0,3.0,1.0,1.0,ZARUMILLA,9.689922480620156,24,82
1.0,2.0,1750.0,40.0,2.0,3.0,2.0,5.0,4.0,251,7911,1.0,1.0,1.0,4.0,1.0,1.0,CUSCO,10.174418604651162,8,82
