carrera,carrera_id
EDUCACIÓN SECUNDARIA,120
EDUCACIÓN SECUNDARIA - ARTE,121
EDUCACIÓN SECUNDARIA - BIOLOGÍA Y QUÍMICA,122
EDUCACIÓN SECUNDARIA - CIENCIA TECNOLOGÍA Y AMBIENTE,123
EDUCACIÓN SECUNDARIA - CIENCIAS BIOLÓGICAS Y QUÍMICA,124
EDUCACIÓN SECUNDARIA - CIENCIAS HISTÓRICO SOCIALES,125
"EDUCACIÓN SECUNDARIA - CIENCIAS MATEMÁTICAS, FÍSICAS E INFORMÁTICA",126
EDUCACIÓN SECUNDARIA - CIENCIAS NATURALES,127
EDUCACIÓN SECUNDARIA - CIENCIAS NATURALES TECNOLOGÍA Y AMBIENTE,128
EDUCACIÓN SECUNDARIA - CIENCIAS SOCIALES,129
EDUCACIÓN SECUNDARIA - CIENCIAS SOCIALES - FILOSOFÍA,130
EDUCACIÓN SECUNDARIA - CIENCIAS SOCIALES - HISTORIA,131
EDUCACIÓN SECUNDARIA - CIENCIAS SOCIALES - PSICOLOGÍA,132
EDUCACIÓN SECUNDARIA - CIENCIAS SOCIALES Y TURISMO,133
EDUCACIÓN SECUNDARIA - COMPUTACIÓN E INFORMÁTICA,134
EDUCACIÓN SECUNDARIA - FILOSOFÍA Y CIENCIAS SOCIALES,135
EDUCACIÓN SECUNDARIA - FILOSOFÍA Y RELIGIÓN,136
"EDUCACIÓN SECUNDARIA - FILOSOFÍA, PSICOLOGÍA Y CIENCIAS SOCIALES",137
EDUCACIÓN SECUNDARIA - HISTORIA Y GEOGRAFÍA,138
EDUCACIÓN SECUNDARIA - IDIOMA EXTRANJERO TRADUCCIÓN E INTERPRETACIÓN,139
EDUCACIÓN SECUNDARIA - IDIOMA EXTRANJERO/ORIGINARIO,140
EDUCACIÓN SECUNDARIA - INGLÉS,141
EDUCACIÓN SECUNDARIA - INGLÉS E ITALIANO,142
EDUCACIÓN SECUNDARIA - LENGUA Y LITERATURA,143
"EDUCACIÓN SECUNDARIA - LENGUA, COMUNICACIÓN E IDIOMA INGLÉS",144
"EDUCACIÓN SECUNDARIA - LENGUAJE, LITERATURA E IDIOMAS",145
EDUCACIÓN SECUNDARIA - LINGÜÍSTICA Y LITERATURA,146
EDUCACIÓN SECUNDARIA - MATEMÁTICA,147
EDUCACIÓN SECUNDARIA - MATEMÁTICA E INFORMÁTICA,148
EDUCACIÓN SECUNDARIA - MATEMÁTICA Y FÍSICA,149
"EDUCACIÓN SECUNDARIA - MATEMÁTICA, COMPUTACIÓN E INFORMÁTICA",150
"EDUCACIÓN SECUNDARIA - QUÍMICA, FÍSICA Y BIOLOGÍA",151
EDUCACIÓN SECUNDARIA - RELIGIOSA Y CIENCIAS SOCIALES,152
EDUCACIÓN SECUNDARIA - RELIGIÓN,153
ELECTRÓNICA,154
ELECTRÓNICA E INFORMÁTICA,155
ENFERMERÍA,156
ESTADÍSTICA,157
ESTADÍSTICA E INFORMÁTICA,158
ESTOMATOLOGÍA,159
FARMACIA Y BIOQUÍMICA,160
FILOSOFÍA,161
FUERZA MOTRIZ,162
FÍSICA,163
GENÉTICA Y BIOTECNOLOGÍA,164
GEOGRAFÍA Y MEDIO AMBIENTE,165
GEOLOGÍA,166
"GERENCIA EN HOTELERÍA, TURISMO Y GASTRONOMÍA (GESTIÓN TURÍSTICA, HOTELERÍA Y GASTRONOMÍA)",167
GESTIÓN DE RECURSOS HUMANOS,168
GESTIÓN EN HOTELERÍA Y TURISMO,169
GESTIÓN PÚBLICA Y DESARROLLO SOCIAL,170
GESTIÓN Y ALTA DIRECCIÓN,171
HISTORIA,172
HISTORIA Y GESTIÓN CULTURAL,173
HOTELERÍA Y ADMINISTRACIÓN,174
IDIOMAS,175
INDUSTRIAS ALIMENTARIAS,176
INFORMÁTICA,177
INGENIERÍA ADMINISTRATIVA,178
INGENIERÍA AERONÁUTICA,179
INGENIERÍA AGROFORESTAL ACUÍCOLA,180
