codigo,etiqueta
839,ESTAMPADOR EN TELA
911,VENDEDORA AMBULANTE DE LIMONES ACIDOS
916,VENDEDOR DE PRODUCTOS NATURALES ALIMENTICIOS
917,HELADERO
863,TECHADOR
873,OPERADOR DE SALA DE MAQUINAS ELECTRICAS
881,TRIPULANTE DE BOTE PRODUCTOS HIDEOBIOLOGICOS EN MERCADO
129,GERENTE DE PRODUCCIÃN DE CEREALES
134,GERENTE GENERAL
922,VENDEDOR AMBULANTE DE CALZADO
927,VENDEDOR AMBULANTE DE BALANZA ELECTRONICAS
931,COBRADOR DE TRASPORTE PUBLICO
944,SERVICIO DE LAVADO DE AUTOS
126,GERENTE
952,GUARDIAN DE CAMPO
981,AYUDANTE MINERO
116,DIRECTORA DE DESARROLLO ORGANIZACIONAL EN ORGANISMO NO GUBERNAMENTAL
